"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
5.798421250E-1	9.284752804E-1	5.479637749E-2	4.903966212E-1	1.051455104E0
5.898361250E-1	7.534418035E-1	4.463071534E-1	7.907189727E-2	8.792707156E-1
5.998301250E-1	5.051889439E-1	6.902595685E-1	-2.608454597E-1	8.942675745E-1
6.098251250E-1	3.750337973E-1	8.309132447E-1	-3.767723572E-1	9.864200822E-1
6.198191250E-1	2.129440824E-1	9.205883367E-1	-3.459119225E-1	1.006222205E0
6.298131250E-1	2.141731305E-1	9.742811253E-1	-1.846258342E-1	1.014485357E0
6.398071250E-1	3.295380010E-1	9.516571516E-1	4.028322279E-2	1.007903451E0
6.498021250E-1	2.391077412E-1	8.436563741E-1	2.924765575E-1	9.243760740E-1
6.597961250E-1	2.078885797E-1	8.151525865E-1	5.101654726E-1	9.838496889E-1
6.697901250E-1	3.232431445E-1	9.036840362E-1	6.349637657E-1	1.150786666E0
6.797841250E-1	3.772961947E-1	8.771509065E-1	8.434053093E-1	1.274001039E0
6.897791250E-1	5.248728280E-1	7.405045465E-1	1.080011721E0	1.410767092E0
6.997731250E-1	5.958256105E-1	3.940546071E-1	1.171351077E0	1.371987805E0
7.097671250E-1	4.336351042E-1	-3.678998653E-2	1.039623249E0	1.127035672E0
7.197611250E-1	4.057272210E-1	-3.099770912E-1	7.148992968E-1	8.785108875E-1
7.297561250E-1	5.858070277E-1	-4.805148999E-1	2.771258622E-1	8.067609226E-1
7.397501250E-1	4.430427991E-1	-6.582834850E-1	-1.117455536E-1	8.013183744E-1
7.497441250E-1	4.281625854E-1	-7.393152228E-1	-3.506961143E-1	9.235247494E-1
7.597381250E-1	5.744073692E-1	-5.649552355E-1	-2.973385173E-1	8.587947588E-1
7.697331250E-1	8.540383979E-1	-3.471662598E-1	2.001127696E-1	9.433722052E-1
7.797271250E-1	1.121278226E0	-1.541423256E-1	6.797844279E-1	1.320277087E0
7.897211250E-1	1.512212467E0	5.146616891E-2	9.196541709E-1	1.770649346E0
7.997151250E-1	1.619190493E0	-3.658822104E-2	1.043560764E0	1.926690328E0
8.097101250E-1	1.474726260E0	-2.552716014E-1	8.803316456E-1	1.736365439E0
8.197041250E-1	1.169838987E0	2.243588158E-1	4.275717974E-1	1.265574089E0
8.296981250E-1	1.209705523E0	3.539419403E-1	6.515821373E-1	1.418880414E0
8.396921250E-1	1.297710577E0	5.557074985E-1	7.857657963E-1	1.615639642E0
8.496871250E-1	1.067147481E0	9.541326434E-1	3.720162320E-1	1.479043247E0
8.596811250E-1	6.924107592E-1	1.257473985E0	-2.931922567E-1	1.465139987E0
8.696751250E-1	4.759529022E-1	1.500259589E0	-9.832613522E-1	1.855832127E0
8.796691250E-1	1.119677478E-1	1.784805568E0	-1.371166808E0	2.253478668E0
8.896641250E-1	-9.556857370E-2	1.983796110E0	-1.382931406E0	2.420140416E0
8.996581250E-1	-1.615899242E-1	2.024565383E0	-1.150033298E0	2.333999332E0
9.096521250E-1	-2.709358536E-1	1.873291190E0	-7.071599221E-1	2.020569542E0
9.196461250E-1	-3.795622100E-1	1.806504731E0	-3.399658889E-1	1.876993239E0
9.296411250E-1	-4.074435615E-1	1.746266131E0	-1.713830602E-1	1.801340559E0
9.396351250E-1	-5.295018493E-1	1.714531830E0	-1.857555163E-1	1.804022371E0
9.496291250E-1	-6.023207342E-1	1.840299737E0	-3.415282649E-1	1.966248953E0
9.596231250E-1	-6.768587735E-1	1.953892719E0	-6.367237777E-1	2.163620051E0
9.696181250E-1	-8.814231015E-1	1.909792433E0	-9.306843585E-1	2.300084172E0
9.796121250E-1	-1.033883256E0	1.811195075E0	-1.051753297E0	2.335706999E0
9.896061250E-1	-1.052779630E0	1.599120218E0	-7.268527597E-1	2.047888023E0
9.996001250E-1	-1.202054368E0	1.272085739E0	-1.841434389E-1	1.759842503E0
1.009595125E0	-1.244308979E0	1.169111009E0	9.816364110E-2	1.710193406E0
1.019589125E0	-1.147502185E0	1.295263225E0	-2.471033335E-3	1.730454909E0
1.029583125E0	-1.197333472E0	1.467290063E0	-1.541793823E-1	1.900083907E0
1.039578125E0	-1.267621974E0	1.545172637E0	-2.692227656E-1	2.016656849E0
1.049572125E0	-1.325582353E0	1.586875856E0	-2.804751474E-1	2.086626432E0
1.059566125E0	-1.355011097E0	1.553945507E0	-2.290570718E-1	2.074432176E0
1.069560125E0	-1.441434260E0	1.358080155E0	-2.917743069E-1	2.001810850E0
1.079555125E0	-1.548357030E0	1.125971786E0	-4.233927923E-1	1.960735427E0
1.089549125E0	-1.461221384E0	1.033927403E0	-5.406692272E-1	1.869892249E0
1.099543125E0	-1.390024956E0	8.975761078E-1	-4.459086657E-1	1.713664723E0
1.109537125E0	-1.293128406E0	6.533389333E-1	9.161885262E-2	1.451697920E0
1.119532125E0	-1.168055367E0	5.188607939E-1	6.621153116E-1	1.439432718E0
1.129526125E0	-9.827069630E-1	4.681818064E-1	9.279063463E-1	1.430355678E0
1.139520125E0	-9.036441290E-1	4.899118140E-1	7.507608551E-1	1.272881832E0
1.149514125E0	-9.103733971E-1	5.264433901E-1	4.270397007E-1	1.135026551E0
1.159509125E0	-9.172149318E-1	4.625666521E-1	2.300376499E-1	1.052695806E0
1.169503125E0	-9.519756056E-1	3.484161387E-1	1.556482029E-1	1.025610902E0
1.179497125E0	-9.457193041E-1	2.564587323E-1	2.117393732E-1	1.002491719E0
1.189492125E0	-9.277225245E-1	1.968583556E-1	2.831069791E-1	9.897332248E-1
1.199486125E0	-8.562074956E-1	2.468136770E-1	3.573531693E-1	9.600570579E-1
1.209480125E0	-7.686599862E-1	3.680540856E-1	2.966579014E-1	9.023901012E-1
1.219474125E0	-7.688807917E-1	5.452419692E-1	2.007226342E-1	9.637199036E-1
1.229469125E0	-6.461158678E-1	6.804716950E-1	6.933628321E-2	9.409117719E-1
1.239463125E0	-6.026550487E-1	6.844160074E-1	5.496792018E-2	9.135862582E-1
1.249457125E0	-6.254316348E-1	6.140604083E-1	1.176956803E-1	8.843569347E-1
1.259451125E0	-6.157339545E-1	6.285391375E-1	1.085588211E-1	8.865521800E-1
1.269446125E0	-5.303578817E-1	6.460031627E-1	1.838130713E-2	8.360247851E-1
1.279440125E0	-5.277944989E-1	6.545411208E-1	-2.796080053E-2	8.412924095E-1
1.289434125E0	-4.756976712E-1	6.476518583E-1	-7.909879446E-2	8.074638216E-1
1.299429125E0	-3.407136746E-1	6.748969596E-1	-1.055170995E-1	7.633515392E-1
1.309423125E0	-3.130878099E-1	7.033351122E-1	-8.395198345E-2	7.744366935E-1
1.319417125E0	-2.561898883E-1	7.905374166E-1	2.247611225E-2	8.313169321E-1
1.329411125E0	-1.833842145E-1	8.843174002E-1	7.382168233E-2	9.061438490E-1
1.339406125E0	-1.976222943E-1	9.375774217E-1	-2.659781456E-2	9.585475662E-1
1.349400125E0	-1.993418508E-1	8.869484279E-1	-1.705474931E-1	9.249330433E-1
1.359394125E0	-2.327314256E-1	7.598642389E-1	-3.176985222E-1	8.558562549E-1
1.369389125E0	-2.877404590E-1	5.618539088E-1	-4.224268323E-1	7.595517199E-1
1.379383125E0	-3.218365967E-1	3.748676998E-1	-4.540298635E-1	6.710049957E-1
1.389377125E0	-2.987864341E-1	2.927847788E-1	-4.295405549E-1	5.995843128E-1
1.399371125E0	-2.982479786E-1	2.010649156E-1	-4.118024415E-1	5.467725376E-1
1.409366125E0	-3.146355314E-1	1.137311950E-1	-3.470696712E-1	4.820660317E-1
1.419360125E0	-3.483457529E-1	7.629059605E-2	-3.127687347E-1	4.743303701E-1
1.429354125E0	-3.510812631E-1	1.428911132E-1	-2.105570662E-1	4.336014318E-1
1.439349125E0	-3.174465803E-1	2.235041173E-1	-6.163959324E-2	3.930977757E-1
1.449343125E0	-1.963137970E-1	2.648865435E-1	3.275025487E-2	3.313254700E-1
1.459337125E0	-1.269398358E-1	2.592366714E-1	1.243094659E-1	3.142772932E-1
1.469331125E0	-1.450789952E-1	1.450955135E-1	1.484181207E-1	2.532361772E-1
1.479326125E0	-2.069240815E-1	-3.091671422E-2	1.310688472E-1	2.468855229E-1
1.489320125E0	-2.062319539E-1	-1.680107517E-1	1.559686303E-1	3.083592793E-1
1.499314125E0	-1.489882608E-1	-1.892564636E-1	9.962193668E-2	2.606531050E-1
1.509309125E0	-9.992887896E-2	-1.623295239E-1	-8.628677666E-2	2.092416378E-1
1.519303125E0	-1.341707951E-1	-1.134712862E-1	-2.128222775E-1	2.759906826E-1
1.529297125E0	-1.129424787E-1	-6.485848546E-2	-2.860908133E-1	3.143415023E-1
1.539291125E0	-1.506209861E-2	-2.052665055E-3	-3.021244633E-1	3.025066472E-1
1.549286125E0	-5.050020888E-3	-4.171725243E-2	-2.926718545E-1	2.956732086E-1
1.559280125E0	4.693684258E-2	-9.409741424E-2	-2.127977192E-1	2.373610328E-1
1.569274125E0	7.712943396E-2	-6.162278250E-2	-1.918529928E-2	1.005703366E-1
1.579269125E0	1.349035060E-1	-4.270280063E-2	1.809192842E-1	2.296829827E-1
1.589263125E0	2.103772095E-1	-3.251987457E-2	2.028878582E-1	2.940741327E-1
1.599257125E0	2.080503466E-1	-5.327456653E-2	1.803222835E-1	2.804269104E-1
1.609251125E0	2.164134364E-1	-7.868598104E-2	1.898316103E-1	2.984330735E-1
1.619246125E0	2.863946675E-1	-9.204767279E-2	2.655208933E-1	4.012430989E-1
1.629240125E0	3.386413483E-1	-1.306827117E-1	2.920941496E-1	4.659130028E-1
1.639234125E0	3.738013139E-1	-1.455545200E-1	2.720305985E-1	4.846794684E-1
1.649229125E0	3.333229402E-1	-1.408337704E-1	1.807976621E-1	4.045072657E-1
1.659223125E0	2.846990663E-1	-1.333480188E-1	1.506242752E-2	3.147413687E-1
1.669217125E0	3.292699793E-1	-8.522572629E-2	-1.237791234E-1	3.619439391E-1
1.679212125E0	2.911617197E-1	-3.975295343E-2	-2.000963974E-1	3.555193561E-1
1.689206125E0	2.412526095E-1	-2.271950260E-2	-1.519486696E-1	2.860199216E-1
1.699200125E0	2.619593908E-1	1.835711427E-2	-1.147837669E-1	2.865920781E-1
1.709194125E0	2.483130310E-1	2.277643986E-2	-2.073334962E-1	3.242920077E-1
1.719189125E0	1.950134859E-1	-1.377604008E-2	-2.902440906E-1	3.499452401E-1
1.729183125E0	1.675857322E-1	-2.636970006E-2	-2.836934549E-1	3.305485063E-1
1.739177125E0	1.630136664E-1	-5.828000240E-2	-1.491899532E-1	2.285337092E-1
1.749172125E0	2.074511714E-1	-8.232112192E-2	-1.319278032E-1	2.592637670E-1
1.759166125E0	1.433930053E-1	-1.061309110E-1	-1.461803913E-1	2.306383122E-1
1.769160125E0	9.080122914E-2	-1.567543499E-1	-2.223567474E-1	2.868088432E-1
1.779155125E0	9.764539506E-3	-2.740021335E-1	-2.446124196E-1	3.674340093E-1
1.789149125E0	-9.983090155E-2	-4.233360744E-1	-1.761046869E-1	4.692467384E-1
1.799143125E0	-1.296773743E-1	-4.586758418E-1	-1.374469900E-1	4.960760267E-1
