"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000000000E0	1.753282215483188E9	"2025-07-23 09:50:15.483 UTC-05:00"
"PAUSE"	2.303934062500048E1	1.753282238522243E9	"2025-07-23 09:50:38.522 UTC-05:00"
